trt,title,field,verdict,drop_stage,isim_adayi,guven,kanit_frame,kanit_ocr,gorsel_gozlem,note,code_location,fix_hint
1970-0046,NORWOORD,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\NORWOORD 1970-0046-1-0000-00-1\frames\cikis_jenerik\c_0255.png,RENICO / INTERBOROUGH / RAPID TRANSIT CO. / DOWNTOWN / TO SOUTH FERRY. WALL / BROOKLYN (ocr_ham.txt satir 4-19),"Giris frames/giris/g_0001-g_0270 tamamen sahne (kovboy sapkali gitarci, oda ici diyalog, kalabalik sahne); acilis karesi g_0001 statik/gurultu. Cikis master (reading_master_runaware*, master_dilim p01-p11) ve cikis_jenerik (c_0239-c_0720, 482 kare) tamamen film sahnesi + NYC 'Interborough Rapid Transit Co. Downtown' metro tabelasi; hicbir karede YONETMEN/DIRECTED BY/REALISATION isareti veya isim y","Ham OCR'daki 'garble' bir yonetmen adi degil, arka plandaki NYC metro/dukkan tabelalarinin OCR yanlis-okumasi (Cince/Tamil karakterleri dahil karisik gurultu); gercek jenerikte metin karti hic yok, film dogrudan sahneyle basliyor/bitiyor.",,"Ham OCR'daki 'garble' bir yonetmen adi degil, arka plandaki NYC metro/dukkan tabelalarinin OCR yanlis-okumasi (Cince/Tamil karakterleri dahil karisik gurultu); gercek jenerikte metin karti hic yok, film dogrudan sahneyle basliyor/bitiyor."
1970-0046,NORWOORD,KIMLIK,D_JENERIKTE_YOK,,,ORTA,E:\MITAS\Database\NORWOORD 1970-0046-1-0000-00-1\master_dilim\reading_master_runaware_p01.png,"GUO QIAO GONG QU XIANG YUAN 0 MIAN / HERS QUIDE / HERB GUIDE (kunye.txt satir 1,11-14 - CJK+bozuk Latin karisik, film basligina iliskin degil)","_DURUM.json'da title='NORWOORD' (orijinal 'NORWOOD' olasi harf hatasi/klasor adlandirma), orijinal_ad ve tur alanlari bos. pdf/kunye_teslim.md'de de basliktan baska hicbir kimlik alani (yonetmen/oyuncu/yapimci) doldurulmamis. ASR ozetinde ('TEKSASLI MUZISYEN NORWOOD PRATT...') filmin 1970 Amerikan yapimi 'Norwood' (Glen Campbell) oldugu anlasiliyor ama bu KB/web-capa degil, sadece ic tutarlilik; g","route.agir'de 'kimlik kurulamadi (cast-ortusme 0) / yanlis-film suphesi' zaten dogru tespit; frame'lerde kimlik dogrulayacak yazi karti yok, KB cross-check icin gorsel kanit mevcut degil -> D_JENERIKTE_YOK (cast okunabilirligi degil, jenerikte byle bir alan yok).",,"route.agir'de 'kimlik kurulamadi (cast-ortusme 0) / yanlis-film suphesi' zaten dogru tespit; frame'lerde kimlik dogrulayacak yazi karti yok, KB cross-check icin gorsel kanit mevcut degil -> D_JENERIKTE_YOK (cast okunabilirligi degil, jenerikte byle bir alan yok)."
1970-0046,NORWOORD,CAST,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\NORWOORD 1970-0046-1-0000-00-1\frames\cikis_jenerik\c_0400.png,"1ER9 CUIDE / ERS GUIDE / CUIDE / GUIDE (ocr_ham.txt satir 56-63 - anlamsiz tekrar, oyuncu adi degil)","270 giris + 720 cikis kare (toplam 990) tek tek/orneklem taranan bolumlerde (g_0001,30,60,90,120,150,180,210,240,270; c_0001,225,239,245,250,255,300,400,500,600,700,720) hicbirinde isim-alt yazi/kredi karti yok; sadece oyuncular sahne icinde konusuyor (Norwood/gitarist erkek, Marie/sarisin kadin, Grady/sakalli adam, kalabalik bar sahnesi). qwen_qc.oyuncu_sayisi=0 ve notlar='Oyuncular ve yonetmen k","Cast bilgisi ne frame'de ne ham OCR'da mevcut; jenerik havuzunun 'found' isaretlemesi yanlis-pozitif (aslinda sokak-tabela sahnesi), gercek isim karti hic yok -> D_JENERIKTE_YOK, cast-cap/garble_gate gibi bir drop asamasi degil, cunku dusurulecek bir aday hic bulunmadi.",,"Cast bilgisi ne frame'de ne ham OCR'da mevcut; jenerik havuzunun 'found' isaretlemesi yanlis-pozitif (aslinda sokak-tabela sahnesi), gercek isim karti hic yok -> D_JENERIKTE_YOK, cast-cap/garble_gate gibi bir drop asamasi degil, cunku dusurulecek bir aday hic bulunmadi."
1970-0061,BAHAR VE ŞARAP,YONETMEN,D_JENERIKTE_YOK,,,ORTA,E:\MITAS\Database\BAHAR VE ŞARAP 1970-0061-1-0000-00-1\1970-0061-1-0000-00-1 BAHAR VE ŞARAP giris.png,Director of Photography Norman Warwick / Film Editor Fergus McDonell / Production designed by Reece Pemberton,"Giris master PNG'sinde (39 kart) ve g_0001-g_0087 jenerik frame'lerinde 'DIRECTED BY / YONETMEN / DIRIGE PAR / REJI' ibaresi hicbir yerde gecmiyor; sadece teknik ekip unvanlari (Director of Photography=Goruntu Yonetmeni, Production Manager, Film Editor, Assistant Director vb.) var. Bu 'Spring and Port Wine' (1970, yon. Peter Hammond) filminin jenerigidir ama jenerik kartlarinda yonetmen adi hic ya","Ham OCR 102 satirin hicbirinde YONETMEN/DIRECTOR/DIRECTED BY yok; sadece 'Director of Photography' (goruntu yon.) var - bu farkli bir unvan, yonetmenle karistirilmamali. drop_stage: guard (nonfilm_marker/yanlis-film tespiti sonrasi tum jenerik alanlari elenmis olabilir, ayrica kart gercekten yonetmen ismini icermiyor olabilir).",,"Ham OCR 102 satirin hicbirinde YONETMEN/DIRECTOR/DIRECTED BY yok; sadece 'Director of Photography' (goruntu yon.) var - bu farkli bir unvan, yonetmenle karistirilmamali. drop_stage: guard (nonfilm_marker/yanlis-film tespiti sonrasi tum jenerik alanlari elenmis olabilir, ayrica kart gercekten yonetmen ismini icermiyor olabilir)."
1970-0061,BAHAR VE ŞARAP,KIMLIK,A_ELENDI,,"Spring And Port Wine (1970, Ingiliz filmi - Anglo Amalgamated/EMI, Nat Cohen, Memorial Enterprises Ltd, cekim yeri Bolton Lancashire)",YUKSEK,E:\MITAS\Database\BAHAR VE ŞARAP 1970-0061-1-0000-00-1\1970-0061-1-0000-00-1 BAHAR VE ŞARAP giris.png,"BRITISH BOARD of FILM CENSORS ... ""Spring And Port Wine"" This film has been passed","Master giris PNG'sinde BBFC sertifika karti acik secik okunuyor: 'Spring And Port Wine', 'NAT COHEN PRESENTS FOR ANGLO AMALGAMATED FILM DISTRIBUTORS LTD', 'a Memorial Film'. Cikis PNG'sinde 'Made on location in Bolton, Lancashire and at Lee International Studios, London, by Memorial Enterprises Ltd., London, England.' Bu goruntuler 'BAHAR VE ŞARAP' adli TRT filminin degil, tamamen farkli bir Ingil","otorite_audit.ocr_dropped=[] ve final kunyede 'JENERIK YOK' yazsa da, master PNG/ham OCR'da jenerik FIILEN VAR ve gayet okunur; sistem bunu yanlis-film/guven-disi bularak (route.agir: 'kimlik kurulamadi, yanlis-film suphesi') tum kimlik alanlarini elemis (drop_stage: KB_veto/nonfilm_marker). _DURUM.json 'kimlik celiskisi (KB cross-check)' notunu dogruluyor.","E:\MITAS\scripts\mitas_pipeline.py:2937-2943 (reasons.append kimlik celiskisi); E:\MITAS\scripts\tek_film_kunye.py:437-438 (kimlik_dogru = (verdict=='TEYIT') or (cast_ov>=2) or (_fuzzy_ov>=2)) ve satir 764 (rapor['adimlar']['cross_check']); E:\MITAS\scripts\credit_crosscheck.py:541-590 (crosscheck(), satir 550-553 read_cast bossa best_ov<4 -> cast_find de bos, cands bossa 'KAYNAK_YOK'); E:\MITAS\scripts\credit_qc_block.py:799-800 (if not locked: 'kimlik kurulamadi (cast-ortusme<2, web capasi kilitlenemedi)'); kok neden: E:\MITAS\scripts\credit_text_read.py:1580-1598 (read_credits_from_text, LLM exception/bos donerse yon=[]/cast=[] kalir) + Database _log.jsonl olayi 'llm_preflight_failed: ollamada gemma-4-31b-it-qat-vision:latest yok'","1) Ollama model deposunu (gemma-4-31b-it-qat-vision:latest) yeniden yukle/onar, LLM-preflight'i pipeline basinda hard-fail yapip filmi tekrar kuyruğa al (mevcut fallback modelleri KULLANMA — qwen36-35b-test halusinasyon uretti, bkz Greg McLean/Leslie Vaoehn kaniti). 2) giris_jenerik_manifest.json (oneocr havuzu, zaten mevcut ve dogru) kunye.txt'ye hic beslenmemis — ana _pipe_ocr.py (paddle) basari"
1970-0061,BAHAR VE ŞARAP,CAST,A_ELENDI,,"James Mason, Susan George, Diana Coupland, Hannah Gordon, Rodney Bewes, Len Jones, Keith Buckley, Frank Windsor, Avril Elgar, Adrienne Posta, Bryan Pringle, John Sharp, Ken Parry, Marjorie Rhodes, Arthur Lowe, Bernard Bresslaw",YUKSEK,E:\MITAS\Database\BAHAR VE ŞARAP 1970-0061-1-0000-00-1\1970-0061-1-0000-00-1 BAHAR VE ŞARAP giris.png,James Mason / Susan George / Diana Coupland . Hannah Gordon / Rodney Bewes . Len Jones / Keith Buckley / Marjorie Rhodes / Arthur Lowe / Bernard Bresslaw,"Master giris PNG'sinde tum oyuncu kartlari net Latin harfleriyle, yuksek kontrastli ve tamamen okunur halde art arda geliyor (James Mason, Susan George, Diana Coupland vb.). Ham OCR (dilim_oneocr.txt) bu isimlerin neredeyse tamamini birebir yakalamis.","_DURUM.json 'qc_block: oyuncu yok' ve 'cast-ortusme<2, web capasi kilitlenemedi' diyor; final kunyede Oyuncular='-' -> cast okunur (isimler net) ama sistem bunlari (dogru sekilde) yanlis-film/yaninda cikan jenerik oldugu icin elemis olabilir - drop_stage: cast_cap/KB_veto/nonfilm_marker. KIMLIK sorusuna cevap: cast net OKUNUR (A), az/yok degil (D degil).","E:\MITAS\scripts\credit_text_read.py:1580-1721 (read_credits_from_text; LLM exception -> out['hata'], guven=OKUNAMADI kalir; _cast_cap() satir 444-450 burada devrede DEGIL cunku kaynakta zaten 0 isim var, kesilecek liste yok); E:\MITAS\scripts\credit_qc_block.py:815-816 (if ulasilan==0: _ekle('CAST','oyuncu yok')); E:\MITAS\scripts\credit_severity_router.py:104 (agir.append(('CAST','oyuncu yok')))",Ayni fix: LLM modelini onar + yeniden kos. Ek olarak credit_role_lexicon.py CAST listesine (satir 79-86) OCR-garble-toleransli 'also starring/string/staring' varyantlarini esik-mesafeli (levenshtein) rol-basligi olarak tanit; boylece LLM devre-disi kalsa bile deterministik rescue ham OCR'dan Susan George/Diana Coupland/Arthur Lowe/Bernard Bresslaw gibi net isimleri kurtarabilir.
1970-0061,BAHAR VE ŞARAP,OZET,OZET_TRANSKRIPT_YOK,,,YUKSEK,,,,"asr/asr-eadbfb0e/run altinda sadece _asr_16k.wav ve subtitle.json var; transcript*.txt veya chlang.json hic yok. subtitle.json icerigi: altyazili=false, oran=0.0, hits=0/total=60, guven=yuksek - yani 60 ornekten hicbirinde konusma/altyazi tespit edilememis. _DURUM.json: asr_status='failed', asr_segments=null, transcript_chars=null. Final kunyede 'OZET AYRI BIR ADIMDA URETILECEKTIR' notu ile tutarl",,"asr/asr-eadbfb0e/run altinda sadece _asr_16k.wav ve subtitle.json var; transcript*.txt veya chlang.json hic yok. subtitle.json icerigi: altyazili=false, oran=0.0, hits=0/total=60, guven=yuksek - yani 60 ornekten hicbirinde konusma/altyazi tespit edilememis. _DURUM.json: asr_status='failed', asr_segments=null, transcript_chars=null. Final kunyede 'OZET AYRI BIR ADIMDA URETILECEKTIR' notu ile tutarl"
1970-0076,ŞAŞKIN REKLAMCI,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\ŞAŞKIN REKLAMCI 1970-0076-1-0000-00-1\giris_reading_master_runaware.png,ocr_ham.txt satir 22-40: 'LE DISTRAIT / SCENARIO ET ADAPTATION DE / ANDRE RUELLAN / ET PIERRE R CHARD ... DIALOGUES DE ... GAUMONT INTERNATIONAL ... AVEC ... P ERRE / R CHARD' -- yonetmen ibaresi yok,"Master PNG'nin 7 kartinin tamamini (giris_reading_master_runaware.png/p01) ve giris_jenerik frame havuzunun tamamini (g_0011..g_0270) tek tek actim: meydan/sokak/police-arabasi sahneleri, LE DISTRAIT baslik karti, SCENARIO ET ADAPTATION DE / ANDRE RUELLAN ET PIERRE R CHARD karti, DIALOGUES DE ANDRE RUELLAN karti, UNE PRODUCTION GAUMONT INTERNATIONAL/LA GUEVILLE/MADELEINE FILMS karti, AVEC PIERRE R","_log.jsonl credit_validate kaydi: yonetmen.value=[] status=OKUNAMADI notes='OCR bos -> doldurma yok'; IMDB/Wiki KB de director=[] donmus. Kart fiziksel olarak jenerikte yok (garble degil, gercek eksiklik/kirpilma).",,"_log.jsonl credit_validate kaydi: yonetmen.value=[] status=OKUNAMADI notes='OCR bos -> doldurma yok'; IMDB/Wiki KB de director=[] donmus. Kart fiziksel olarak jenerikte yok (garble degil, gercek eksiklik/kirpilma)."
1970-0076,ŞAŞKIN REKLAMCI,KIMLIK,A_ELENDI,cast_cap,MARIE-CHRISTINE BARRAULT,YUKSEK,E:\MITAS\Database\ŞAŞKIN REKLAMCI 1970-0076-1-0000-00-1\frames\giris_jenerik\g_0270.png,"ocr_ham.txt satir 39-40: 'MARIE CHR STINE' / 'BARRAULT' (frame'de net okunuyor, final ciktida yok)",frames/giris_jenerik/g_0270.png'de acikca 'MARIE-CHRISTINE BARRAULT' okunuyor (AVEC PIERRE RICHARD kartindan hemen sonraki oyuncu karti). Ham OCR'da da (ocr_ham.txt satir 39-40) 'MARIE CHR STINE' / 'BARRAULT' olarak yakalanmis. VL-fallback log kaydi vl_cast_aday=['MARIE-CHRISTINE BARRAULT'] uretmis (cast_supplement=1). Ancak final kunye.txt / final PDF-txt / _DURUM.json qwen_qc.oyuncu_sayisi=1'de ,Cast okunur durumdaydi (framede+OCR'da+VL adayinda mevcut) ama final asamada cast_cap/tek-oyuncu siniri nedeniyle elendi; KIMLIK gercekte 2 oyunculu olmasi gerekirken 1'e indirgenmis.,"scripts/credit_text_read.py:1339 (_CAST_HEADER_RE tanimi — 'AVEC' eksik) ve scripts/credit_text_read.py:587-614 (_guard — tum-token-OCR-icinde sarti) ve scripts/credit_text_read.py:1388-1415 (extract_cast_block_candidates) ve scripts/credit_qc_block.py:605 (locked = cast_ov>=2 kosulu, downstream KIMLIK etkisi)","(1) _CAST_HEADER_RE deseinine Fransizca 'AVEC' (ve varsa 'AVEC LA PARTICIPATION DE' disinda salt 'AVEC' satiri) ekle — ancak 'avec la participation'/'avec le concours' gibi non-cast kaliplarla karismamasi icin ayirici kontrol sart (bu ifadeler zaten _PREFILTER_PHRASES'te var, iyi isaret). (2) _guard()'a raw_context_lines uzerinden 'yakin-esik' (fuzzy token, ör. levenshtein<=2) izni eklemek riskli "
1971-0057,RODEO TUTKUSU,KIMLIK,A_ELENDI,identity_unlocked,CLIFF ROBERTSON (oyuncu/J.W. Coop) - yonetmen karti bulunamadi,ORTA,frames/cikis/c_0640.png,"OCR ham verisi yok (ocr_bucket=HATA, ocr_lines=0); master_dilim/dilim_oneocr.txt sadece 'CPIRID / FIRST ATD NIT' cop metni icerir, cikis bolgesini hic kapsamiyor.","cikis/ klasorunde end-credits (cast) blogu c_0630-c_0720 arasinda net okunuyor: CLIFF ROBERTSON...J.W. Coop basiyla basliyor. Bundan once (c_0550-c_0625) sadece rodeo arena/kapanis sahnesi var, ayri bir 'Directed by/Yonetmen' karti YOK. giris/ klasorunde de (g_0001-g_0270) acilis jenerigi/yonetmen karti yok, film direkt sahneyle basliyor.","_DURUM.json: vl_yon_aday=null, kimlik kurulamadi (cast-ortusme 0). Cast net okunuyor ama yonetmen adi filmde ayri kart olarak gorunmuyor (D'ye yakin); KB'de J.W. Coop yonetmeninin Robert Culp oldugu biliniyorsa bu bir identity/cross-check konusu, ama frame'de yazili degil -> D_JENERIKTE_YOK'e yakin A_ELENDI (sistem hicbir yonetmen adayi uretmemis, cross-check de calismamis).",,"_DURUM.json: vl_yon_aday=null, kimlik kurulamadi (cast-ortusme 0). Cast net okunuyor ama yonetmen adi filmde ayri kart olarak gorunmuyor (D'ye yakin); KB'de J.W. Coop yonetmeninin Robert Culp oldugu biliniyorsa bu bir identity/cross-check konusu, ama frame'de yazili degil -> D_JENERIKTE_YOK'e yakin A_ELENDI (sistem hicbir yonetmen adayi uretmemis, cross-check de calismamis)."
1971-0057,RODEO TUTKUSU,CAST,A_ELENDI,garble_gate,"CLIFF ROBERTSON, GERALDINE PAGE, CRISTINA FERRARE, R.G. ARMSTRONG, JOHN CRAWFORD, WADE CROSBY, LARRY MAHAN, MARY ROBIN REDD, ve digerleri (toplam ~30 isim)",YUKSEK,frames/cikis/c_0690.png,"OCR ham cikti yok: ocr_bucket=HATA, ocr_lines=0; ocr/ocr-97cf62cd/ klasoru tamamen bos dosya icermiyor. master_dilim OCR sadece giris_reading_master_runaware.png'yi islemis, cikis/cast blogu HIC OCR'a girmemis.","frames/cikis/c_0630.png -> c_0720.png araliginda TAM ve NET okunur bir end-credits/cast listesi var (sari/altin renkli yazi, koyu zemin uzerinde, iyi kontrastli, net okunabilir). Ayrica 'Special thanks to' ve 'R.C.A. Stock Contractor' satirlari da var. Ancak frames/cikis_jenerik/ klasoru TAMAMEN BOS (0 dosya) - sistem bu kareleri jenerik-adayi olarak hic tespit/secmemis.","cikis_jenerik secim adimi (giris_jenerik_pool=0.01sn, cikis icin karsilik yok) bu end-credits karelerini hic yakalamamis; frame var+okunur+cast net ama sistemde secilip OCR'a girmedigi icin final'de kayip.",,"cikis_jenerik secim adimi (giris_jenerik_pool=0.01sn, cikis icin karsilik yok) bu end-credits karelerini hic yakalamamis; frame var+okunur+cast net ama sistemde secilip OCR'a girmedigi icin final'de kayip."
1971-0057,RODEO TUTKUSU,OZET,OZET_TRANSKRIPT_YOK,,,YUKSEK,,"asr/asr-6374db53/run/subtitle.json icerigi: {""altyazili"": false, ""oran"": 0.017, ""hits"": 1, ""total"": 60, ""guven"": ""yuksek"", ""ornekler"": [""JOIDEASIiII DODtON""]} - gercek transkript dosyasi (transcript*.txt) hicbir klasorde bulunamadi.",N/A (OZET alani frame degil ASR transkriptine dayanir),"_DURUM.json: asr_status=failed, transcript_chars=null, asr_segments=null. Final txt'de '(OZET AYRI BIR ADIMDA URETILECEKTIR.)' yazan placeholder var, gercek ozet hic uretilmemis; LLM/ollama katmani da calismamis (neden listesinde acikca belirtilmis).",,"_DURUM.json: asr_status=failed, transcript_chars=null, asr_segments=null. Final txt'de '(OZET AYRI BIR ADIMDA URETILECEKTIR.)' yazan placeholder var, gercek ozet hic uretilmemis; LLM/ollama katmani da calismamis (neden listesinde acikca belirtilmis)."
1971-0079,ÖLÜM VURUŞU,YONETMEN,B_OCR_OKUYAMADI,guard,HENRY HATHAWAY,YUKSEK,E:\MITAS\Database\ÖLÜM VURUŞU 1971-0079-1-0000-40-1\frames\giris_jenerik\g_0105.png,"master_dilim/dilim_oneocr.txt satir 50-51: ""Directed by"" / ""HENRY HATHAWAY""","master_dilim/giris_reading_master_runaware_p02.png alt panelinde ve frames/giris_jenerik/g_0101.png, g_0103.png, g_0105.png karelerinde 'Directed by' / 'HENRY HATHAWAY' kirmizi buyuk Latin harflerle, dag/vadi/agac fonunda TAM NET ve yuksek cozunurlukte okunuyor; bulaniklik/garble/yabanci alfabe yok.","Ana/final OCR (ocr/ocr-e8dc63d7/ocr_ham.txt, 27 satir) bu 'Directed by' dilimini hic icermiyor; ayni jenerigin genisletilmis master_dilim taramasi (99 satir) ismi net yakalamis. _DURUM.json 'yonetmen garble (okunamadi)' diyor ama gorsel/OCR garble degil, net; final OCR pipeline'i bu paneli atlamis/islemi tamamlamamis (final kunye_teslim.md'de Yonetmen alani bos kalmis, vl_yon_aday da null). Duzelt","scripts/credit_validate.py:254-258 (validate_director erken-cikis) + scripts/tek_film_kunye.py:439-460,610-619,878-912 (deferans/FIX-A) + scripts/mitas_pipeline.py:2355-2369,3441-3471 (dilim-stage sirasi)",(a) credit_validate.validate_director icinde ocr_dir bos oldugunda bile xml_dir/imdb_res/wiki_res'i deger olarak DONDUR (status='OKUNAMADI_XML_MEVCUT' gibi ayri bir bayrakla) ki asagi-akis (tek_film_kunye) bu bilgiyi gorebilsin; (b) tek_film_kunye.py FIX-A (satir 878) glob'unu genisletip filmin bu-kosudaki giris_reading_master_runaware.png/master_dilim ciktisinin HENUZ URETILMEMIS olabilecegini he
1973-0211,BİR BEBEK EVİ,YONETMEN,A_ELENDI,lexicon_anchor_misparse,Joseph Losey (OCR: 'Josaph Losay' / 'Joseph Losay'),YUKSEK,E:\MITAS\Database\BİR BEBEK EVİ 1973-0211-1-0000-00-1\master_dilim\reading_master_runaware_p02.png,ocr/ocr-e49afb19/ocr_ham.txt satır44-45: 'Josaph Losay' / 'director',"Master PNG'de (p02, y~1150-1230 bolgesi) 'Joseph Losay' adi italik/el-yazisi fontla acikca okunuyor; hemen altinda 'director' etiketi (kismen kirpilmis ama net) var. Ayni sirada bir onceki karta 'Gerry/Gorry Fishor B.' + 'director of photo[graphy]' (kameraman) kredisi de var - bu ikisi karistirilmis olabilir.","OCR ham+VL(Gemma) ikisi de 'Joseph Losay'+'director' cift satirini net yakalamis; ama otorite_audit.raw_cap_dropped listesinde sadece gurultulu bigram varyantlari (Losay Cont/David/Michel/Rectow) var, 'director' etiketine temiz ankraj yapilamamis (muhtemelen 'director of photography' ile karisip guard/KB_veto ile elenmis). Final PDF'de Yonetmen alani tamamen bos - duzeltilebilir gercek bir isim va",,"OCR ham+VL(Gemma) ikisi de 'Joseph Losay'+'director' cift satirini net yakalamis; ama otorite_audit.raw_cap_dropped listesinde sadece gurultulu bigram varyantlari (Losay Cont/David/Michel/Rectow) var, 'director' etiketine temiz ankraj yapilamamis (muhtemelen 'director of photography' ile karisip guard/KB_veto ile elenmis). Final PDF'de Yonetmen alani tamamen bos - duzeltilebilir gercek bir isim va"
1975-0182,BİR ZAMANLAR,YONETMEN,D_JENERIKTE_YOK,,,YUKSEK,E:\MITAS\Database\BİR ZAMANLAR 1975-0182-1-0000-00-1\giris_reading_master_runaware.png,PERFORMANCE / .OLD TIMES. / by / HAROLD PINTER / with / JOHN MALKOVICH / KATE NELLIGAN / MIRANDA RICHARDSON,"giris_reading_master_runaware.png (600x2314, 6 blok, 32 kare birlestirilmis) tam okundu: 'PERFORMANCE' baslik/dizi adi, 'OLD TIMES by HAROLD PINTER' (yazar - Harold Pinter oyun yazari, yonetmen degil), sonra 'with JOHN MALKOVICH / KATE NELLIGAN / MIRANDA RICHARDSON' oyuncu kartlari. Yonetmen/director/directed by/reji ibaresi jenerigin hicbir bolumunde (5 semantic_group, giris_textset kaynagi) gecm","Jenerik (İngilizce 'OLD TIMES' TV-tiyatro performansi, muhtemelen BBC 'Performance' dizisi) yazar adi veriyor ama yonetmen kartini hic icermiyor; _DURUM.json'daki 'yönetmen garble (okunamadı)' notu isabetsiz - aslinda garble degil, jenerikte yonetmen bilgisi yer almiyor (D_JENERIKTE_YOK), C degil.",,"Jenerik (İngilizce 'OLD TIMES' TV-tiyatro performansi, muhtemelen BBC 'Performance' dizisi) yazar adi veriyor ama yonetmen kartini hic icermiyor; _DURUM.json'daki 'yönetmen garble (okunamadı)' notu isabetsiz - aslinda garble degil, jenerikte yonetmen bilgisi yer almiyor (D_JENERIKTE_YOK), C degil."
1975-0182,BİR ZAMANLAR,KIMLIK,A_ELENDI,KB_veto,"OLD TIMES (Harold Pinter, TV performansi - Malkovich/Nelligan/Richardson)",YUKSEK,E:\MITAS\Database\BİR ZAMANLAR 1975-0182-1-0000-00-1\giris_reading_master_runaware.png,"{""part"": ""giris_reading_master_runaware_p01.png"", ""text"": "".OLD TIMES."", ...} + ""HAROLD PINTER""","Master PNG'de acikca 'OLD TIMES' baslikli, deniz kiyisi arka planli, siyah-beyaz/sepya tonlu bir Ingiliz TV tiyatro-performans jeneriği goruluyor. Bu, TRT kaydinin 'BİR ZAMANLAR' (1975-0182) olarak etiketlenen dosyasiyla hicbir ortak yani yok; farkli bir yapim/farkli dil/farkli oyuncu kadrosu.","Sistem kimlik celiskisini dogru tespit etmis (kb cross-check, cast-ortusme 0, web capasi kilitlenemedi) - jenerik gercekten baska bir esere (Pinter'in 'Old Times'i) ait; TRT kaydi/kunye 'BİR ZAMANLAR' ile fiziksel dosya arasinda uyusmazlik var, KONTROL rotasi ve 'yanlış-film şüphesi' isabetli.",,"Sistem kimlik celiskisini dogru tespit etmis (kb cross-check, cast-ortusme 0, web capasi kilitlenemedi) - jenerik gercekten baska bir esere (Pinter'in 'Old Times'i) ait; TRT kaydi/kunye 'BİR ZAMANLAR' ile fiziksel dosya arasinda uyusmazlik var, KONTROL rotasi ve 'yanlış-film şüphesi' isabetli."
1975-0182,BİR ZAMANLAR,CAST,A_ELENDI,KB_veto,"JOHN MALKOVICH, KATE NELLIGAN, MIRANDA RICHARDSON",YUKSEK,E:\MITAS\Database\BİR ZAMANLAR 1975-0182-1-0000-00-1\giris_reading_master_runaware.png,with / JOHN MALKOVICH ... KATE NELLIGAN ... MIRANDA RICHARDSON,"Jenerikte 3 oyuncu adi net, buyuk harflerle, yuksek kontrastta ve tam okunur sekilde goruluyor (ayri kartlarda, ekran ortasinda serifli beyaz fontla). Ham OCR (dilim_oneocr.jsonl) de ayni isimleri bicimsel olarak dogru satir/kutu koordinatlariyla yakalamis.","Cast frame'de VE ham OCR'da acikca var ve dogru okunmus (B degil), ama final kunyede '—' (bos) cikmis; muhtemelen KB cross-check bu isimleri 'BİR ZAMANLAR' (1975) filmiyle eslesmedigi icin (yabanci/farkli-film oyuncu kadrosu) veto etmis -> A_ELENDI, drop_stage=KB_veto (kimlik celiskisiyle bagli).",,"Cast frame'de VE ham OCR'da acikca var ve dogru okunmus (B degil), ama final kunyede '—' (bos) cikmis; muhtemelen KB cross-check bu isimleri 'BİR ZAMANLAR' (1975) filmiyle eslesmedigi icin (yabanci/farkli-film oyuncu kadrosu) veto etmis -> A_ELENDI, drop_stage=KB_veto (kimlik celiskisiyle bagli)."
1975-0182,BİR ZAMANLAR,OZET,OZET_TRANSKRIPT_YOK,,,YUKSEK,,"subtitle.json icerigi: {""altyazili"": false, ""oran"": 0.0, ""hits"": 0, ""total"": 60, ...} (93 byte, transkript degil)","asr klasorunde (asr-e76f77a7/run/) sadece subtitle.json (altyazi-varlik-tespiti, 0 hit) ve ham 16k wav dosyasi var; gercek bir transcript*.txt veya chlang.json bulunamadi.","clip.json ve _DURUM.json ASR status='failed'/'partial' olarak isaretlemis, transcript_chars=null, asr_segments=null; ozet uretecek herhangi bir transkript metni mevcut degil, bu yuzden final kunyede 'ÖZET AYRI BİR ADIMDA ÜRETİLECEKTİR' notu dogru ama nedeni ASR'in tamamen basarisiz olmasi.",,"clip.json ve _DURUM.json ASR status='failed'/'partial' olarak isaretlemis, transcript_chars=null, asr_segments=null; ozet uretecek herhangi bir transkript metni mevcut degil, bu yuzden final kunyede 'ÖZET AYRI BİR ADIMDA ÜRETİLECEKTİR' notu dogru ama nedeni ASR'in tamamen basarisiz olmasi."
